corridor,empresaid,horizon,split,n_snapshots,n_samples,pct_snapshots_usable,n_scalar_effective,n_scalar_paired,sha256
E2,2,1,test,39930,36010,90.1828,135401,90480,ab28518fb3165c769b89856786faf324920e120256aec1576a4d63c96ba3701f
E2,2,3,test,39930,35651,89.2837,134931,81697,585114ada9eec08d3a7b492b99d3bdb45bfee0dd3dba84a45e48051c64b4b04c
E2,2,5,test,39930,35329,88.4773,134432,79152,78e9257302c52ffbd4554988af073791c19f4e04b4153b7e083e05196284551b
E2,2,10,test,39930,34628,86.7218,133228,75750,918554479e9a42caac530706e0a9f0d6841240e02445d8406d5156a6df05eec2
E2,2,1,train,195055,176290,90.3796,705013,502175,f4c6e5df773197cfd7fb85512346018a9857f4cde87af7e71aa52cb4f232710e
E2,2,3,train,195055,174537,89.4809,702501,454738,2c996b641705ac08bdc3b4fe73c5079161da34b93da327c138de4bdfc459846a
E2,2,5,train,195055,172915,88.6494,699908,440340,41616abe14d433dde5d7da797f5ef3bfefc2f486e225e7889002f9e4fbdbbe1c
E2,2,10,train,195055,169294,86.793,693399,421468,db067c45842f47d1491ecfc37a581cfbbcf5b01678e2a0bc83a3fea3d74d86e5
E2,2,1,val,41466,37549,90.5537,145552,97852,f5be1c8aa832abc0d4dd412ed7605b14fc5e8028b6a70755edb9154613008222
E2,2,3,val,41466,37214,89.7458,145135,88212,ea8fb75fb2f0af88213dc6a936bb6c7e11a1615740e679e43e4432554e53e869
E2,2,5,val,41466,36904,88.9982,144720,85552,8a92631d69e8094485cd02c1e894f9fc29ae0e556dfe284fe7e5fe2f5e71f591
E2,2,10,val,41466,36179,87.2498,143595,82012,53710d90a1967f455ed1e34ff0cff27935c19dbcfc2dd58c0919752f37fbe4b5
E4,4,1,test,47832,40196,84.0358,125598,99952,906d111281e491ed7f9a1771856fd125b25bd1d8a7f944ba036d2b85aefaf27b
E4,4,3,test,47832,39946,83.5131,125438,92485,5244ebd04d6175f204f4b8cfc8cab234baf34a8043a5588bda099d574d126ef5
E4,4,5,test,47832,39720,83.0406,125273,88705,2a2da36998abd23cb49c96d3a77063f8a618a8adde02554bf4b2eb10190f70ca
E4,4,10,test,47832,39195,81.9431,124726,83225,d0ccd8ea318518b6da8eb7c7a0fce6539c599c7b45d4d4cbcb0681eaf51fc4c8
E4,4,1,train,216144,186375,86.2272,596781,500784,13aa3843ebe44a6dd1653365ccbbbfb5820911fd54ae2cc2923a4167d0bae9b0
E4,4,3,train,216144,185118,85.6457,595813,462308,3c51fa201c291f88c23c659151dac2549ca7a7658477384ceb2a8458c6d7dd4e
E4,4,5,train,216144,183954,85.1072,594787,441200,b3bd4bdfca8b53e5db61e3da86a78d5891ccaf0858a7375035138c94a8cf3808
E4,4,10,train,216144,181282,83.8709,591987,409414,9bbcafbe34838647457b3fa5595f07205b03d51d1e9d429262e190b637fcd407
E4,4,1,val,49531,41755,84.3007,127553,101598,898d18fad978ed48d05944038c6627b5e3ecd9d3dd078ce18931f995d470531b
E4,4,3,val,49531,41464,83.7132,127295,93573,eb35aa062e35e13db3098d4ec0bf0bee6dded9b59ac69647edea071bc8e52e72
E4,4,5,val,49531,41189,83.158,127012,89399,221d160532ac68f38bcde8986f7625073dc171fe7d24f26d2e42410e1e600722
E4,4,10,val,49531,40566,81.9002,126255,83742,cf449d4a61b87d8bb1aec3839d1cf2ab3ac094540a882964352559788a804f15
E59,59,1,test,54441,47217,86.7306,292696,240958,008f5ff38c23699a752d65db5bc6486364a3b34950b915443642a8243db0e460
E59,59,3,test,54441,46899,86.1465,292435,229868,342a6a5d0a07fd21442e3e3aa30bedd1c11e1d1bb5b7d5ebcf7490f4fca54858
E59,59,5,test,54441,46640,85.6707,292193,226574,bb2b632f5c61851a42baa2a46ba34c25df88b3f9edba520852eca8568d1469fe
E59,59,10,test,54441,46121,84.7174,291627,219778,59809befeb6c188095b58057b41d892ca43413059d25d3da51e54e9da32da3ec
E59,59,1,train,269514,231531,85.9069,1440811,1216077,1eaec9bc2d42cf9e30f92bcc703a899f08f406dda24ee65cedcd52e6291b85c7
E59,59,3,train,269514,229672,85.2171,1439240,1158619,f4746e34d4ff1dcc763c73cdba481183c71bbbe4d801e9cfb6ac4d36a2a047f4
E59,59,5,train,269514,228111,84.6379,1437773,1140639,80ee5736b248f51a8eb11bffba27b05b56aae86c364ee0b4d34ed687587a3a7b
E59,59,10,train,269514,225095,83.5189,1434232,1103648,ecdafc0780563875bd8464c2b14829dccf6caa854f5bfd73e92ff9f9b94b7324
E59,59,1,val,54651,48316,88.4083,309832,260285,43c292b4a705c75179f2fbc1df4ccbf139c7e67484c08f779cc79ec2a289eac7
E59,59,3,val,54651,48052,87.9252,309576,249053,e4e01f714831a53de700a55ea6ad326d4e588b42dd38f83989b42f3f76e25153
E59,59,5,val,54651,47839,87.5355,309325,245401,9946a06324a9afdb96de25e11c946051e9ab8d40d9a32f250e8cbf4d5782f4b6
E59,59,10,val,54651,47394,86.7212,308659,237495,6ea277b0f77b0bdbda2577c1090b8fb6103569263dda47d774cf2c4f471019a3
